course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
AFEN BC3196,HARLEM RENAISSANCE LITERATURE,"Home to Harlem focuses on the relationship between art, activism and social justice during the Harlem/ New Negro Renaissance. Exploring the cultural contexts and aesthetic debates that animated Harlem in 1920s to 1930s, the course discusses the politics of literary and theatrical production, while exploring the fashioning and performance of New Negro identity through fiction, poetry, essays, and artwork.  Topics considered include: role of Africa/slavery/the south in New Negro expression, patronage, passing, primitivism/popular culture, black dialect as literary language, and the problematics of creating a “racial” art in/for a community comprised of differences in gender, class, sexuality, and geographical origin.",Maleda Belilgne,,,00164,,X3196-20271-001,HARLEM RENAISSANCE LITERA,Africana Studies (AFSB),AFEN,https://doc.sis.columbia.edu/subj/AFEN/X3196-20271-001/,,,,4,,,20271AFEN3196X001,SEMINAR
AFRS BC2005,CARIBBEAN CULTURE & SOCIETIES,"This course offers a chronological study of the Anglophone, Hispanophone, and Francophone insular Caribbean through the eyes of some of the region’s most important writers and thinkers. We will focus on issues that key Caribbean intellectuals--including two Nobel prize-winning authors--consider particularly enduring and relevant in Caribbean cultures and societies. Among these are, for example, colonization, slavery, national and postcolonial identity, race, class, popular culture, gender, sexuality, tourism and migration. This course will also serve as an introduction to some of the exciting work on the Caribbean by professors at Barnard College and Columbia University (faculty spotlights).",Maja Horn,,,00422,,X2005-20271-001,CARIBBEAN CULTURE & SOCIE,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/X2005-20271-001/,,,,3,,,20271AFRS2005X001,LECTURE
AFRS BC2006,INTRODUCTION AFRICAN DIASPORA,"Interdisciplinary and thematic approach to the African diaspora in the Americas: its motivations, dimensions, consequences, and the importance and stakes of its study. Beginning with the contacts between Africans and the Portuguese in the 15th century, this class will open up diverse paths of inquiry as students attempt to answer questions, clear up misconceptions, and challenge assumptions about the presence of Africans in the New World.",Tamara Walker,,,00246,,X2006-20271-001,INTRODUCTION AFRICAN DIAS,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/X2006-20271-001/,,,,3,,,20271AFRS2006X001,LECTURE
AFRS BC3110,THE AFRICANA COLLOQUIUM,"The Africana Studies Department offers special topics courses every year as colloquia. These colloquia provide opportunities for students to explore areas of particular interest within African Diasporic Studies in a seminar environment. Students earn 4 credits for these courses. There are multiple colloquia offered by the department every year. Some of the topics for these colloquia have included Critical Race Theory, Indian Ocean Diaspora, The New Black, Caribbean Women, and Black Shakespeare. As the topics change, students should check with the Chair of the Africana Studies Department if they have any questions about the topics for a particular academic year.",Kim F Hall,,,00862,,X3110-20271-002,,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/X3110-20271-002/,,,,4,,,20271AFRS3110X002,SEMINAR
AFRS BC3532,ROMARE BEARDEN:HOME IS HARLEM,"Prerequisites: This course is limited to 20 students Romare Bearden: Home is Harlem, is an exploration into one of the greatest American artists finding home in Harlem. The noted painter, collagist, intellectual and advocate for the arts, spent his childhood and young adult life in Harlem. Known for chronicling the African-American experience, he found rich sources for artistic expression in the Manhattan neighborhoods above 110th Street.",Diedra Harris-Kelley,,,00249,,X3532-20271-001,ROMARE BEARDEN:HOME IS HA,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/X3532-20271-001/,,,,4,,,20271AFRS3532X001,SEMINAR
AFRS BC3552,BLACK WOMEN STYLE&PERFRMNCE,,Shirley Taylor,,,00250,,X3552-20271-001,BLACK WOMEN STYLE&PERFRMN,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/X3552-20271-001/,,,,4,,,20271AFRS3552X001,SEMINAR
AFRS BC3565,Art & Culture in Harlem,"Harlem is a community with a long and storied legacy of arts and entertainment that dates back to the late 1800s. Its legacy extends through the many cultural movements that have helped to define the community such as the Harlem Renaissance in the early 1900s, the Black Arts Movement in the 1960s, and Hip Hop in the 1970s and 1980s, to the current renaissance of venues that anchor Harlem as a neighborhood vibrant with varied opportunities for cultural engagement. Harlem is home to several historic and iconic venues devoted to the arts and entertainment such as the Apollo Theater, Dance Theatre of Harlem, the Studio Museum in Harlem, and the National Black Theatre. These and many other venues along with many others throughout the neighborhood have helped to anchor Harlem as a beacon for Black creative expression that has been instrumental in shaping American culture. The Schomburg Center for Research in Black Culture, part of the New York Public Library, stands as a repository for much of this history and as an emblem of Harlem’s extensive cultural history. In recent years, Harlem has also seen a burgeoning of new galleries, performance spaces, and cultural events that have reignited and brought new audiences to the community. In this course, we will explore Harlem’s early history and how it evolved from a place known primarily for its entertainment venues to one with a mix of standard and more cutting edge artistic and cultural ventures. Community, politics, and economics will also be considered as we look at various cultural and artistic movements. As part of our exploration, we will examine whether shifts in demographics and the ideas, notions, and sometimes, myths about the neighborhood have influenced arts and entertainment in the community. We will seek to define what distinguishes arts and entertainment in Harlem from other New York City neighborhoods and how Harlem has contributed over the years to Black arts and entertainment in NYC and beyond. This course will include visits to venues and visits from guest speakers, all relative to in-class discussions and deeper exploration of the space arts and entertainment have continued to hold for the community and for the people of Harlem. Along with guided walking tours, visits to selected venues will help to delineate Harlem’s cultural past and its continuing evolution through the work of artists, curators, administrators, scholars, culture bearers, and others. Students are encouraged to attend events at some of the institutions and venu",Shirley Taylor,,,00252,,X3565-20271-001,,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/X3565-20271-001/,,,,4,,,20271AFRS3565X001,SEMINAR
AFRS GU4001,Afro-Latin America in the Artistic Imagi,"How have painters, filmmakers, novelists, and other artists portrayed the history of Africans and their descendants in Latin America? How do those portrayals – of the Middle Passage, slavery, revolution, abolition, and contemporary social movements, to name a few examples – compare to scholarly approaches to those same subjects? To answer these and other questions, this class brings together a wide array of materials covering more than five hundred years of Afro-Latin American history. The course will move chronologically from the 15th century to the present, with each week devoted to grappling with a topic relevant to the history of Afro-Latin America in a given era, as viewed through both artistic and scholarly sources. Students will come to class prepared to consider what each has to offer to our understanding of the past. We will also debate the possibilities of using art to disseminate historical knowledge, and whether there any dangers to privileging artistic over scholarly approaches to history (or vice versa). In addition, because NYC is home to so many museums, archives, and cultural institutions relevant to our subject, it will serve as an experiential laboratory where we will spend several of our class meetings. Learning outcomes. By the end of the semester, students will be skilled at the following:
  
 analyzing artistic and scholarly sources on their own terms
  
 discussing them in relation to one another
  
 evaluating the utility of these diverse materials to the process of understanding the past.",Tamara Walker,,,00251,,W4001-20271-001,AFRO-LATIN AMER IN ART IM,Africana Studies (AFSB),AFRS,https://doc.sis.columbia.edu/subj/AFRS/W4001-20271-001/,,,,4,,,20271AFRS4001W001,SEMINAR
AHIS BC2526,Art History Spring 2027 Adjunct TBD,TO COME,,,,00856,,X2526-20271-001,Art History SP 2027 Adj T,Art History @Barnard,AHIS,https://doc.sis.columbia.edu/subj/AHIS/X2526-20271-001/,,,,3,,,20271AHIS2526X001,LECTURE
AHUM UN1400,COLLOQUIUM ON MAJOR TEXTS,"This course explores the core classical literature in Chinese, Japanese and Korean Humanities. The main objective of the course is to discover the meanings that these literature offer, not just for the original audience or for the respective cultures, but for us. As such, it is not a survey or a lecture-based course. Rather than being taught what meanings are to be derived from the texts, we explore meanings together, informed by in-depth reading and thorough ongoing discussion.",David L Moerman,,,00697,,V1400-20271-002,COLLOQ ON MAJOR TEXTS: E ASIA,Asian and Middle East @Barnard,AHUM,https://doc.sis.columbia.edu/subj/AHUM/V1400-20271-002/,,,,4,,,20271AHUM1400V002,COLLOQUIA
AMST BC1112,Elementary American Sign Language (ASL),"This course is an introduction to the basic skills in developing production and comprehension skills in American Sign Language (ASL). Students will learn ASL vocabulary, structure, and grammar. Course content also includes the manual alphabet and numbers. Students will develop basic conversational abilities, culturally appropriate behaviors, and learn about the culture and history of Deaf communities.",Kailyn Aaron-Lozano,,,00881,,X1112-20271-001,ELEMENTARY ASL II,American Studies @Barnard,AMST,https://doc.sis.columbia.edu/subj/AMST/X1112-20271-001/,,,,4,,,20271AMST1112X001,LANGUAGE
AMST BC1112,Elementary American Sign Language (ASL),"This course is an introduction to the basic skills in developing production and comprehension skills in American Sign Language (ASL). Students will learn ASL vocabulary, structure, and grammar. Course content also includes the manual alphabet and numbers. Students will develop basic conversational abilities, culturally appropriate behaviors, and learn about the culture and history of Deaf communities.",Kailyn Aaron-Lozano,,,00882,,X1112-20271-002,ELEMENTARY ASL II,American Studies @Barnard,AMST,https://doc.sis.columbia.edu/subj/AMST/X1112-20271-002/,,,,4,,,20271AMST1112X002,LANGUAGE
AMST BC3704,SENIOR RESEARCH ESSAY SEMINAR,,Jennie Kassanoff,,,00130,,X3704-20271-001,SENIOR RESEARCH ESSAY SEM,American Studies @Barnard,AMST,https://doc.sis.columbia.edu/subj/AMST/X3704-20271-001/,,,,4,,,20271AMST3704X001,SEMINAR
AMST BC4400,"Crime, Sex, Race and the Politics of Pur","The politics of what and who counts as worthy, good, or pure mediates possibilities for political and legal life. This course takes as its central question: how do certain ideas around purity and innocence come to appear natural? By considering a wide range of topics including carceral studies, immigration, race-making, settler colonialism, gender and sexuality and cultural studies, we will uncover the ways that cultural objects circulate and do political work. How are notions of race, crime, and purity produced, policed, and lived? And finally, how might we live otherwise—against innocence?",Daria Reaven,,,00132,,X4400-20271-001,The Politics of Purity,American Studies @Barnard,AMST,https://doc.sis.columbia.edu/subj/AMST/X4400-20271-001/,,,,4,,,20271AMST4400X001,SEMINAR
AMST GU4110,THE WEALTH OF NATIVES,"Indigenous people are often imagined in the distant past, or as living anachronisms in relation to contemporary life. Working against these assumptions, this course examines how Native peoples have survived colonialism, focusing on economic aspects of colonialism in North America, while looking to Australia and Hawai‘i. We will look at the long history of Native land struggles, and links between colonial economies and ecological destruction. Themes guiding our inquiry include: the development of wage labor, property law and economic production on Native lands, histories of political and economic dependency, ""development"" as defined and practiced over Native communities, and Native people's own economic choices. Our inquiry will be oriented towards deepening our ability to critically analyze the colonial situation we live in, and to see Indigenous survivals despite ongoing assaults against life and territory.",Manu Karuka,,,00796,,W4110-20271-001,,American Studies @Barnard,AMST,https://doc.sis.columbia.edu/subj/AMST/W4110-20271-001/,,,,4,,,20271AMST4110W001,SEMINAR
ANTH BC2012,LAB METHODS ARCHAEOLOGY,"Only the most recent chapters of the past are able to be studied using traditional historiographical methods focused on archives of textual documents. How, then, are we to analyze the deep history of human experiences prior to the written word? And even when textual archives do survive from a given historical period, these archives are typically biased toward the perspectives of those in power. How, then, are we to undertake analyses of the past that take into account the lives and experiences of all of society’s members, including the poor, the working class, the colonized, and others whose voices appear far less frequently in historical documents? From its disciplinary origins in nineteenth century antiquarianism, archaeology has grown to become a rigorous science of the past, dedicated to the exploration of long-term and inclusive social histories.
  
“Laboratory Methods in Archaeology” is an intensive introduction to the analysis of archaeological artifacts and samples in which we explore how the organic and inorganic remains from archaeological sites can be used to build rigorous claims about the human past. The 2022 iteration of the course centers on assemblages from two sites, both excavated by Barnard’s archaeological field program in the Taos region of northern New Mexico: (1) the Spanish colonial site of San Antonio del Embudo founded in 1725 and (2) the hippie commune known as New Buffalo, founded in 1967. Participants in ANTH BC2012 will be introduced to the history, geology, and ecology of the Taos region, as well as to the excavation histories of the two sites. Specialized laboratory modules focus on the analysis of chipped stone artifacts ceramics, animal bone, glass, and industrial artifacts.
  
The course only demands participation in the seminars and laboratory modules and successful completion of the written assignments, but all students are encouraged to develop specialized research projects to be subsequently expanded into either (1) a senior thesis project or (2) a conference presentation at the Society for American Archaeology, Society for Historical Archaeology, or Theoretical Archaeology Group meeting.",,,,00813,,X2012-20271-001,,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/X2012-20271-001/,,,,4,ANTH BC2012,,20271ANTH2012X001,LECTURE
ANTH BC3234,Indigenous Place-Thought,"This seminar considers what it means to be of a place and to think with and be committed to that place—environmentally, politically, and spiritually. After locating ourselves in our own particular places and place-based commitments, our attention turns to the Indigenous traditions of North America, to accounts of tribal emergence and pre-colonial being, to colonial histories of land dispossession, to ongoing struggles to protect ecological health and land-based sovereignty, to the epistemological and moral systems that have developed over the course of many millennia of living with and for the land, and to the contributions such systems might make to our collective future. The seminar’s title is borrowed from an essay on “Indigenous place-thought” by Mohawk/Anishinaabe scholar Vanessa Watts.",Severin Fowles,,,00828,,X3234-20271-001,INDIGENOUS PLACE-THOUGHT,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/X3234-20271-001/,,,,4,,,20271ANTH3234X001,SEMINAR
ANTH BC3243,"Sin, Disease, Subversion and the Experie","Course Description This course provides an exploration of how race and racism are produced, reproduced, and resisted from a Latin American perspective. We will examine a conception of race that is often ambiguous, hybrid, and fluid, yet coexists with deeply entrenched forms of racism. We begin by tracing the origins of racial formations to the colonial period, focusing on how race and religion became intertwined. The course then investigates Latin America's role in the medicalization of racialized bodies, particularly in the context of nation-building projects. We will analyze how racism has operated during periods of political violence, authoritarian rule, and transitions to democracy. Given the region's vast heterogeneity, we will critically examine ""Latin America"" as a category and use representative case studies to explore how race is mediated through signifiers such as education, gender, geography, occupation, dress, language, and religion—while ultimately being inscribed on and through the body. Students will explore Indigenous ontologies and epistemologies, and reflect on how the legacies of colonial and state violence persist but are contested. The first half of this course provides an overview of historical events and theoretical debates around the study of race in Latin America. The second half is dedicated to reading ethnographic work on questions of race. The selected books present cases in Peru, Ecuador, Brazil, Puerto Rico, and of immigrants in the United States.",Paloma Rodrigo Gonzales,,,00830,,X3243-20271-001,Race in Latin America,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/X3243-20271-001/,,,,4,,,20271ANTH3243X001,SEMINAR
ANTH BC3868,ETHNOGRAPHIC FIELD RESEARCH IN NYC,"This course provides the aspiring anthropologist with an array of primarily qualitative methodological tools essential to successful urban fieldwork. As such, it is a practicum of sorts, where regular field assignments help build one’s ability to record and analyze social behavior by drawing on several key data collection techniques. Because we have the luxury of inhabiting a large, densely populated, international city, this class requires that you take a head-first plunge into urban anthropology. The NYC area will define the laboratory for individually- designed research projects. Be forewarned, however! Ethnographic engagement involves efforts to detect social patterns, but it is often a self-reflexive exercise, too. Readings provide methodological, analytical, and personal insights into the skills, joys, and trials that define successful field research.",Kaya N Williams,,,00829,,X3868-20271-001,ETHNOGRAPHIC FIELD RESEAR,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/X3868-20271-001/,,,,4,,,20271ANTH3868X001,SEMINAR
ANTH BC3872,SENIOR THESIS SEMINAR II,"Prerequisites: Must complete ANTH BC3871x. Limited to Barnard Senior Anthropology Majors. Offered every Spring. Discussion of research methods and planning and writing of a Senior Essay in Anthropology will accompany research on problems of interest to students, culminating in the writing of individual Senior Essays. The advisory system requires periodic consultation and discussion between the student and her adviser as well as the meeting of specific deadlines set by the department each semester.",,,,00812,,X3872-20271-001,,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/X3872-20271-001/,,,,4,ANTH BC3871,,20271ANTH3872X001,SEMINAR
ANTH UN1009,INTRO TO LANGUAGE & CULTURE,"This is an introduction to the study of the production, interpretation, and reproduction of social meanings as expressed through language. In exploring language in relation to culture and society, it focuses on how communication informs and transforms the sociocultural environment.",Elizabeth M Green,,,00827,,W1009-20271-001,INTRO TO LANGUAGE & CULTU,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/W1009-20271-001/,,,,3,,,20271ANTH1009W001,LECTURE
ANTH UN1019,INTRO LANG & CULTURE-DISC,,,,,00833,,V1019-20271-001,,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/V1019-20271-001/,,,,0,,,20271ANTH1019V001,DISCUSSION
ANTH UN1019,INTRO LANG & CULTURE-DISC,,,,,00834,,V1019-20271-002,,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/V1019-20271-002/,,,,0,,,20271ANTH1019V002,DISCUSSION
ANTH UN1019,INTRO LANG & CULTURE-DISC,,,,,00835,,V1019-20271-003,,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/V1019-20271-003/,,,,0,,,20271ANTH1019V003,DISCUSSION
ANTH UN1019,INTRO LANG & CULTURE-DISC,,,,,00836,,V1019-20271-004,,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/V1019-20271-004/,,,,0,,,20271ANTH1019V004,DISCUSSION
ANTH UN3052,The City Jail,"Municipal jails are one of the most impactful institutions of criminal justice in the United States; and yet many Americans do not even know the difference between a prison and a jail.  This course will investigate the conditions of mass incarceration in America by centering the municipal jail. Taking as objects of study both the jail itself and the practice of incarcerating people in local jails, this course will combine scholarly work on U.S. criminal justice with a variety of non-academic texts including legal decisions, contemporary journalism, and documentary film. The course is focused on jails writ large,  but as we are living in New York City, we will pay particular attention throughout the semester to our own municipal jail system.",Kaya N Williams,,,00831,,W3052-20271-001,,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/W3052-20271-001/,,,,4,,,20271ANTH3052W001,SEMINAR
ANTH UN3091,Disability,"This course centers 
disability 
in its many manifestations and meanings – as an embodied, social, and cultural experience, as an organizing discourse in local and global contexts, as an analytic framework, and as a position from which to approach, think about, and engage in the world. Together, we will seek to understand disability in diverse settings and contexts through ethnographic texts, autobiography, documentary film, and essays, drawing primarily from works in anthropology but also more broadly from the interdisciplinary traditions known as (Critical) Disability Studies.
  
Throughout the semester, we will move between considering disability in more and less specific and categorical terms. We will ask what the stakes are – intellectually, socially, politically -  for different ways of doing, thinking, and representing disability. What becomes apparent when we consider, say, the experiences of deaf young adults in India working together to learn Indian Sign Language, or physically disabled adults in the United States whose disabilities must be situated within histories of racialized poverty and urban neglect? What happens – what are the resonances and the tensions – when we put these settings into conversation? Through our engagements with materials analyzing these and many other instances, we will think together about what it means to study and think with disability from different disciplinary perspectives, different methods, and different media.",Elizabeth M Green,,,00832,,W3091-20271-001,,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/W3091-20271-001/,,,,4,,,20271ANTH3091W001,SEMINAR
ANTH UN3160,THE BODY AND SOCIETY,"As an introduction to the field of medical anthropology, this seminar addresses themes of health, affliction, and healing across sociocultural domains.  Concerns include critiques of biomedical, epidemiological and other models of disease and suffering; the entwinement of religion and healing; technocratic interventions in healthcare; and the sociomoral underpinnings of human life, death, and survival.  A 1000 level course in Anthropology is recommended as a prerequisite, although not required.  Enrollment limited to 30. 4 units",Paloma Rodrigo Gonzales,,,00825,,V3160-20271-001,,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/V3160-20271-001/,,,,4,,,20271ANTH3160V001,SEMINAR
ANTH UN3975,ANTHROPOLOGY OF MEDIA,,Brian Larkin,,,00826,,V3975-20271-001,,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/V3975-20271-001/,,,,4,,,20271ANTH3975V001,SEMINAR
ANTH UN3976,ANTHROPOLOGY OF SCIENCE,"This course examines specific debates in the history and philosophy of science, and in science and technology studies (STS), with a view towards exploring the relationships among science, technology and society. The first half of the course engages methodological questions and theoretical debates concerning the nature of epistemology, and the significance of social interests, material agency, laboratory and social practices, and “culture(s)” in the making of scientific knowledge.  The second half delves more specifically into the ways in which sciences and technologies are both embedded in and shape contemporary social and political practices and imaginaries",Gina A Jae,,,00880,,V3976-20271-001,,Anthropology @Barnard,ANTH,https://doc.sis.columbia.edu/subj/ANTH/V3976-20271-001/,,,,4,,,20271ANTH3976V001,SEMINAR
ARCH GU4300,The Just City: Global Debates in Urban P,"Urbanization is inherently unequal, inscribing social, economic, environmental, and political unevenness into the spatial fabric of the city. But the distribution of such inequality is not inevitable. Urbanization is a product of the collective decisions we make (or choose not to make) in response to the shared challenges we face in our cities. And, thus, the patterns of urbanization can be changed. This is the task of urban planning and the starting point for this advanced seminar, which asks how we can reshape our cities to be more just—to alleviate inequality rather than compound it. In embarking on this effort, we face numerous “wicked” problems without clear-cut solutions. The approaches one takes in addressing urban inequality are therefore fundamentally normative—they are shaped by one’s place in the world and one’s view of it. The central challenge in addressing inequality is thus establishing a basis for collective action amongst diverse actors with differing—and sometimes conflicting—values and views. In other words, planning the just city a matter of both empathy and debate. In this course, we will endeavor to develop informed positions that can help us engage with others as a basis for taking collective action.
  
The course is organized into four 3-week modules, each of which addresses a dimension of the just city: equity, democracy, diversity, and sustainability. In the first week of each module, we will discuss how the issue has been understood in history and theory (with an emphasis on tradeoffs between different priorities and values); in the second week, we will apply this discussion to a global case study prepared and presented by a team of students; and in the third week, we will hold an in-class debate to determine what should be done. Specific case studies vary each year.",Nick R Smith,,,00361,,W4300-20271-001,THE JUST CITY,Architecture @Barnard,ARCH,https://doc.sis.columbia.edu/subj/ARCH/W4300-20271-001/,,,,4,,,20271ARCH4300W001,SEMINAR
ARCH GU4310,DISABILITY AND ARCHITECTURE,"This course explores the manifold relationships between architecture and disability. We will discuss how architecture mediates different bodily experiences and relationships and negotiates social norms and forms of assembly that intervene in shaping shifting understandings and performances of impairment, assistance, access, rehabilitation, and oppression that have historically framed disability.  We will explore disability as a culture, an episteme, and a politics, often negotiated by architecture.
  
 
  
We will assess the disabling effects of the built environment as well as architectural projects and designs defined to normalize, segregate, or eradicate disability. We will also study environments, artifacts, and infrastructures that have allowed disabled individuals and communities to thrive, often against expectations of integration in normative life frameworks. We will additionally explore how disability contributes to framing architecture differently and opens up space for new aesthetic experiences, different cultures of making, and diverse politics of the built environment. We will discuss how it challenges normalizing understandings of space and form, functionalist paradigms in architecture, and modern and contemporary interpretations of nature, the city, and society.  We will discuss the ideologies enacted by different projects shaping the life of disabled individuals, including their own designs and interventions in the built environment.
  
 
  
These explorations are organized thematically, with sessions engaging design and disability scholarship and providing students with a robust introduction to disability studies. In dialogue with this field, students will explore how design and architecture have operated in relation to medical, social, environmental, cultural, and political paradigms of disability. They will discuss the role that built environments play in the agendas of the disability rights and disability justice movements. Sessions engage both historical and theoretical questions.
  
 
  
Three assignments will allow students to explore the intersections of the built environment and disability in a diversity of formats. Advanced students will have the opportunity to write a research paper.",Ignacio Gonzalez Galan,,,00362,,W4310-20271-001,DISABILITY AND ARCHITECTU,Architecture @Barnard,ARCH,https://doc.sis.columbia.edu/subj/ARCH/W4310-20271-001/,,,,4,,,20271ARCH4310W001,SEMINAR
ARCH UN1010,DESIGN FUTURES: NEW YORK CITY,"How does design operate in our lives? What is our design culture? In this course, we explore the many scales of design in contemporary culture -- from graphic design to architecture to urban design to global, interactive, and digital design. The format of this course moves between lectures, discussions, collaborative design work and field trips in order to engage in the topic through texts and experiences.",Clara Kraft Isono,,,00339,,W1010-20271-002,DESIGN FUTURES: NEW YORK,Architecture @Barnard,ARCH,https://doc.sis.columbia.edu/subj/ARCH/W1010-20271-002/,,,,3,,,20271ARCH1010W002,LECTURE
ARCH UN1010,DESIGN FUTURES: NEW YORK CITY,"How does design operate in our lives? What is our design culture? In this course, we explore the many scales of design in contemporary culture -- from graphic design to architecture to urban design to global, interactive, and digital design. The format of this course moves between lectures, discussions, collaborative design work and field trips in order to engage in the topic through texts and experiences.",Richard T Rouhe,,,00375,,W1010-20271-001,DESIGN FUTURES: NEW YORK,Architecture @Barnard,ARCH,https://doc.sis.columbia.edu/subj/ARCH/W1010-20271-001/,,,,3,,,20271ARCH1010W001,LECTURE
ARCH UN1020,INTRO ARCH DESIGN&VIS CULTURE,Introductory design studio to introduce students to architectural design through readings and studio design projects. Intended to develop analytic skills to critique existing media and spaces. Process of analysis used as a generative tool for the students own design work. Must apply for placement in course. Priority to upperclass students. Class capped at 16.,Madeline K Schwartzman,,,00341,,V1020-20271-001,INTRO-ARCH DESIGN/VIS CUL,Architecture @Barnard,ARCH,https://doc.sis.columbia.edu/subj/ARCH/V1020-20271-001/,,,,3,,,20271ARCH1020V001,STUDIO
ARCH UN1020,INTRO ARCH DESIGN&VIS CULTURE,Introductory design studio to introduce students to architectural design through readings and studio design projects. Intended to develop analytic skills to critique existing media and spaces. Process of analysis used as a generative tool for the students own design work. Must apply for placement in course. Priority to upperclass students. Class capped at 16.,,,,00342,,V1020-20271-002,INTRO-ARCH DESIGN/VIS CUL,Architecture @Barnard,ARCH,https://doc.sis.columbia.edu/subj/ARCH/V1020-20271-002/,,,,3,,,20271ARCH1020V002,STUDIO
ARCH UN2101,ARCHITECTURAL DESIGN: SYSTEMS AND MATERI,"This architectural design studio explores material assemblies, techniques of fabrication, and systems of organization. These explorations will be understood as catalysts for architectural analysis and design experimentation.
  
Both designed objects and the very act of making are always embedded within a culture, as they reflect changing material preferences, diverse approaches to durability and obsolescence, varied understandings of comfort, different concerns with economy and ecology. They depend on multiple resources and mobilize varied technological innovations. Consequently, we will consider that making always involves making a society, for it constitutes a response to its values and a position regarding its technical and material resources. Within this understanding, this studio will consider different cultures of making through a number of exercises rehearse design operations at different scales—from objects to infrastructures.",Michael E Schissel,,,00343,,V2101-20271-001,ARCH DESIGN: SYSTMS & MTR,Architecture @Barnard,ARCH,https://doc.sis.columbia.edu/subj/ARCH/V2101-20271-001/,,,,4.5,,,20271ARCH2101V001,STUDIO
ARCH UN2103,ARCHITECTURAL DESIGN: ENVIRONMENTS AND M,"This architectural design studio course explores modes of visualization, technologies of mediation and environmental transformations. These explorations will be used as catalysts for architectural analysis and design experimentation.
  
Introducing design methodologies that allow us to see and to shape environmental interactions in new ways, the studio will focus on how architecture may operate as a mediator
 
– an intermediary that negotiates, alters or redirects multiple forces in our world: physical, cultural, social, technological, political etc. The semester will progress through three projects that examine unique atmospheric, spatial and urban conditions with the aid of multimedia visual techniques; and that employ design to develop creative interventions at the scales of an interface, space and city.",Marina Correia,,,00344,,V2103-20271-001,ARCH DESIGN: ENVRNMNTS &,Architecture @Barnard,ARCH,https://doc.sis.columbia.edu/subj/ARCH/V2103-20271-001/,,,,4.5,,,20271ARCH2103V001,STUDIO
ARCH UN2103,ARCHITECTURAL DESIGN: ENVIRONMENTS AND M,"This architectural design studio course explores modes of visualization, technologies of mediation and environmental transformations. These explorations will be used as catalysts for architectural analysis and design experimentation.
  
Introducing design methodologies that allow us to see and to shape environmental interactions in new ways, the studio will focus on how architecture may operate as a mediator
 
– an intermediary that negotiates, alters or redirects multiple forces in our world: physical, cultural, social, technological, political etc. The semester will progress through three projects that examine unique atmospheric, spatial and urban conditions with the aid of multimedia visual techniques; and that employ design to develop creative interventions at the scales of an interface, space and city.",Ines E Yupanqui,,,00345,,V2103-20271-002,ARCH DESIGN: ENVRNMNTS &,Architecture @Barnard,ARCH,https://doc.sis.columbia.edu/subj/ARCH/V2103-20271-002/,,,,4.5,,,20271ARCH2103V002,STUDIO
