course_code,course_title,course_descr,instructor,scheduled_time_start,scheduled_time_end,call_number,campus,class_id,course_subtitle,department,department_code,link,location,method_of_instruction,open_to,points,prerequisites,scheduled_days,section_key,type
ACCT B8029,Mergers & Acquisitions Transactions,"The purpose of this course is to provide you with an overview of M&A strategies and an introduction to the structuring and accounting for deals. We will also learn how to model M&A transactions. This is an advanced and technical course. If reviewing arcane accounting and tax rules does not bring you joy, you are forewarned! You will see plenty of both in the course. During the course, we will focus on several themes:
 1. Deal strategy
 2. Deal valuations
 3. Deal structuring – impact of tax and accounting rules
 4. Common metrics used to evaluate deals and limitations of those metrics
 5. Accounting and modeling of deals
  
This course is recommended for those who intend to work in the financial services area – it will be helpful for those looking for a career in banking, corporate advisory services, treasury or corporate/financial strategy.
  
Advising on M&A transactions requires a strong background in accounting and tax. This course will get into the minutiae of various accounting and tax aspects of M&A. I will expect you to be willing to do the deep dive, where required. It is expected that you
 have already taken courses in financial accounting and corporate finance and are interested in accounting and tax. If you do not have a prior background in accounting and tax, you are strongly advised to check with the instructor before enrolling in this
 course.
  
This is not a course in excel, excel tools/techniques or about excel add‐ins provided by data providers. There are many services provided by data providers and Wall Street Prep companies for those. This course will focus on the accounting, finance and
 economics of evaluating deals and building models. Also, we assume that you are already proficient in Excel, since we will use a lot of Excel models in the course.",Radha Radhakrishna,,,14473,,B8029-20261-002,M&A Transactions,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8029-20261-002/,,In-Person,"Business
Journalism",1.5,,,20261ACCT8029B002,LECTURE
ACCT B8030,LBO & Bankruptcy Transactions,"The purpose of this course is to provide you with an overview of LBO strategies and to introduce you to restructuring and the bankruptcy process. During the course, you will learn how to build a basic financial model and adapt it for LBO transactions. This is an advanced and technical course. If reviewing arcane accounting and legal rules does not bring you joy, you are forewarned! You will see plenty of both in the course. During the course, we will learn to:
 1. Build a basic integrated financial models (IS, BS and CFS)
 2. Adapt the financial model to study the effect of LBO transactions
 3. Study the impact of different deal structures, accounting choices, operating assumptions and financing decisions on firm value, liquidity, profitability, returns and other financial metrics.
 4. Learn about alternative exit and restructuring strategies.
 5. Understand the bankruptcy process – debt restructuring and fresh start models.",Radha Radhakrishna,,,14692,,B8030-20261-002,LBO & Bankruptcy Transact,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8030-20261-002/,,In-Person,"Business
Engineering:Graduate
Journalism",1.5,,,20261ACCT8030B002,LECTURE
ACCT B8030,LBO & Bankruptcy Transactions,"The purpose of this course is to provide you with an overview of LBO strategies and to introduce you to restructuring and the bankruptcy process. During the course, you will learn how to build a basic financial model and adapt it for LBO transactions. This is an advanced and technical course. If reviewing arcane accounting and legal rules does not bring you joy, you are forewarned! You will see plenty of both in the course. During the course, we will learn to:
 1. Build a basic integrated financial models (IS, BS and CFS)
 2. Adapt the financial model to study the effect of LBO transactions
 3. Study the impact of different deal structures, accounting choices, operating assumptions and financing decisions on firm value, liquidity, profitability, returns and other financial metrics.
 4. Learn about alternative exit and restructuring strategies.
 5. Understand the bankruptcy process – debt restructuring and fresh start models.",Radha Radhakrishna,,,14693,,B8030-20261-001,LBO & Bankruptcy Transact,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8030-20261-001/,,In-Person,"Business
Engineering:Graduate
Journalism",1.5,,,20261ACCT8030B001,LECTURE
ACCT B8031,MS Financial Accounting (Half-Term),"Financial statements are meant to enable the reader to evaluate the performance of an enterprise, analyze its cash flows, and assess its financial position. Recently, widely publicized cases of misleading statements, which were nevertheless attested as to their fairness by outside auditors, resulted in improper revenue recognition, overstatement of income, and misrepresentation of financial position. There is a growing awareness of the importance of honest reporting as the foundation for investors' confidence in the integrity and proper functioning of the financial markets.",Amir Ziv,,,14762,,B8031-20261-050,MS Financial Accounting (,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8031-20261-050/,,In-Person,,1.5,,,20261ACCT8031B050,LECTURE
ACCT B8122,Accounting for Consultants,"This elective course covers accounting tools useful to consultants, as well as for students with an interest in a firm’s finance function, general management, or private equity.
There will be a particular focus on performance measurement and management.
Performance measurement is a key determinant of success for today’s companies that sell a wide range of products and services to a wide range of customers differentiated in their needs. While financial accounting (GAAP) information is a useful shortcut toward gaining some understanding of a firm’s financial health, consultants and managers need a more solid understanding of the firm’s strategy and mission, as well as disaggregated information that helps assess how the firm is performing along its strategic objectives.
There is overlap between this course and the half-semester course “Financial Planning & Analysis (FP&A)” course. This course expands on many of the concepts taught in FP&A and supplements them with industry insights and guest speakers. For this reason, this course is mutually exclusive with the elective course “B8007 – Financial Planning & Analysis”. If you have taken FP&A, you will not be able to enroll in this course for credit.  Please contact me immediately in case of such a conflict.
The following specific topics will be addressed:
• Profitability analysis to assess individual products
• Customer relationship management using customer lifetime value (CLV)
• Budgeting and variances
• Performance evaluation for profit centers and investment centers
• Performance-based pay: team incentives, relative performance evaluation, etc.
• Corporate governance: the C-suite and the role of compensation consultants
• The “War of Metrics”: Cash Flow, EVA, Balanced Scorecards, etc.
• Innovative ways to deviate from GAAP rules to better measure value creation
• Issues specific to multinational enterprises (MNEs), e.g., taxation
• Industry-specific insights: performance measurement in key industries",Tim Baldenius,,,14669,,B8122-20261-001,Accounting for Consultant,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B8122-20261-001/,,In-Person,,3,B8007,,20261ACCT8122B001,LECTURE
ACCT B9008,(PhD) Analytical Topics in Acc,,Tim Baldenius,,,14715,,B9008-20261-001,(PhD) Analytical Topics i,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B9008-20261-001/,,In-Person,Business,3,,,20261ACCT9008B001,LECTURE
ACCT B9020,Research on Investing with Fun,,Shivaram Rajgopal,,,14727,,B9020-20261-001,Research on Investing wit,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B9020-20261-001/,,In-Person,,3,,,20261ACCT9020B001,LECTURE
ACCT B9098,MS Accounting Thesis,,Doron Nissim,,,19742,,B9098-20261-001,,Accounting (ACCT),ACCT,https://doc.sis.columbia.edu/subj/ACCT/B9098-20261-001/,,In-Person,,3,,,20261ACCT9098B001,SUPERVISED S
ACLG UN2029,THINK LIKE AN ARCHAEOLOGIST - DISC,Discussion section for course ANTH UN2028 THINK LIKE AN ARCHAEOLOGIST,,,,11303,,V2029-20261-001,THINK LIKE AN ARCH - DISC,Anthropology,ACLG,https://doc.sis.columbia.edu/subj/ACLG/V2029-20261-001/,,In-Person,,0,ANTH UN2028,,20261ACLG2029V001,DISCUSSION
ACLG UN2029,THINK LIKE AN ARCHAEOLOGIST - DISC,Discussion section for course ANTH UN2028 THINK LIKE AN ARCHAEOLOGIST,,,,11304,,V2029-20261-002,THINK LIKE AN ARCH - DISC,Anthropology,ACLG,https://doc.sis.columbia.edu/subj/ACLG/V2029-20261-002/,,In-Person,,0,ANTH UN2028,,20261ACLG2029V002,DISCUSSION
ACLG UN2029,THINK LIKE AN ARCHAEOLOGIST - DISC,Discussion section for course ANTH UN2028 THINK LIKE AN ARCHAEOLOGIST,,,,11305,,V2029-20261-003,THINK LIKE AN ARCH - DISC,Anthropology,ACLG,https://doc.sis.columbia.edu/subj/ACLG/V2029-20261-003/,,In-Person,,0,ANTH UN2028,,20261ACLG2029V003,DISCUSSION
ACLG UN2029,THINK LIKE AN ARCHAEOLOGIST - DISC,Discussion section for course ANTH UN2028 THINK LIKE AN ARCHAEOLOGIST,,,,11306,,V2029-20261-004,THINK LIKE AN ARCH - DISC,Anthropology,ACLG,https://doc.sis.columbia.edu/subj/ACLG/V2029-20261-004/,,In-Person,,0,ANTH UN2028,,20261ACLG2029V004,DISCUSSION
ACTU PS5030,INTRO TO LIFE INSURANCE,,Darryl Wagner,,,12648,,K5030-20261-D01,,Actuarial Science,ACTU,https://doc.sis.columbia.edu/subj/ACTU/K5030-20261-D01/,,On-Line Only,,3,,,20261ACTU5030KD01,ONLINE COURS
ACTU PS5630,PROPERTY/CASUALTY,,Mark Hoffmann,,,12650,,K5630-20261-D01,PROPERTY & CASUALTY,Actuarial Science,ACTU,https://doc.sis.columbia.edu/subj/ACTU/K5630-20261-D01/,,On-Line Only,,3,,,20261ACTU5630KD01,LECTURE
ACTU PS5821,ACTUARIAL METHODS,"The Actuarial Methods course explores models for evaluating and managing risks of life contingent contracts, their theoretical basis and applications. Topics include survival models, life insurance and annuity benefits, premium and reserve calculations related to policies on a single life, as well as option pricing. This course also covers materials relevant to the long-term section of the Fundamentals of Actuarial Mathematics (FAM) exam of the Society of Actuaries. This is a core course of the M.S. in Actuarial Science program.",Yubo Wang,,,12652,,K5821-20261-001,,Actuarial Science,ACTU,https://doc.sis.columbia.edu/subj/ACTU/K5821-20261-001/,,In-Person,,3,,,20261ACTU5821K001,LECTURE
ACTU PS5822,ADVANCED ACTUARIAL METHODS,"The purpose this class is to develop the student’s knowledge of the theoretical basis of certain actuarial models and the application of those models to insurance and other financial risks. A thorough knowledge of calculus, probability, and interest theory is assumed. Knowledge of risk management at the level of Exam P is also assumed.
  
The combination of these two classes covers the material for the FAM-L and ALTAM examinations of the Society of Actuaries. This is a core class of the Actuarial Science program. Students who have already taken and passed the MLC or LTAM exam for SOA are exempted from this class and can substitute an elective.",Abraham Weishaus,,,12654,,K5822-20261-001,ADVANCED ACTUARIAL METHOD,Actuarial Science,ACTU,https://doc.sis.columbia.edu/subj/ACTU/K5822-20261-001/,,In-Person,,3,,,20261ACTU5822K001,LECTURE
ACTU PS5823,ACTUARIAL MODELS,"This course provides an introduction to the tools for pricing and reserving for short term insurance. We will discuss methods for calculating IBNR reserves, ratemaking, frequency and severity models used for modeling coverage modifications, statistical methods for fitting, evaluating, and selecting parametric models for frequency and severity, and three credibility methods.
  
This class covers the short-term material of Exam FAM and also covers the material of Exam ASTAM of the Society of Actuaries, and some of the material on Exams MAS I, MAS II, and 5 of the Casualty Actuarial Society. This is a core class of the Actuarial Science program. Students who have already taken and passed the FAM exam (or its short term portion) and the ASTAM exam administered by the SOA are exempted from this class and can substitute an elective.",Regina Dolgoarshinnykh,,,12655,,K5823-20261-001,,Actuarial Science,ACTU,https://doc.sis.columbia.edu/subj/ACTU/K5823-20261-001/,,In-Person,,3,,,20261ACTU5823K001,LECTURE
